"t","x","y","dt","type"
33.261,1597,1528,0.0999999999999943,1
33.421,1722,1524,0.0799999999999983,1
33.541,1660,1572,0.720000000000006,1
34.301,1486,1452,0.100000000000001,1
34.441,1109,1438,0.0799999999999983,1
34.701,1493,1557,0.278999999999996,1
35.08,1640,1546,0.440000000000005,1
35.56,1276,1492,0.379999999999995,1
36.26,2008,1361,0.120000000000005,1
36.779,2298,1386,0.419999999999995,1
37.359,2565,1441,0.199999999999996,1
37.939,2067,1284,0.140000000000001,1
38.099,1706,1184,0.0800000000000054,1
38.199,2906,1565,0.239000000000004,1
38.558,3182,1503,0.140000000000001,1
39.158,1793,1213,0.18,1
39.438,1779,1216,0.0999999999999943,1
39.558,1773,1214,0.140000000000001,1
40.557,2981,1455,0.18,1
40.977,3164,1498,0.280000000000001,1
42.356,1693,598,0.119999999999997,1
42.696,1620,770,0.440000000000005,1
43.216,1696,792,0.0799999999999983,1
43.895,1872,766,0.0999999999999943,1
44.035,1846,779,0.100000000000001,1
45.035,1929,793,0.100000000000001,1
45.155,1811,707,0.159999999999997,1
45.335,1732,794,0.119,1
45.574,1720,830,0.100000000000001,1
45.834,1574,864,0.239999999999995,1
46.094,1693,849,0.339999999999996,1
46.454,1662,839,0.460000000000001,1
46.974,1798,828,0.719000000000001,1
47.793,1797,834,0.219999999999999,1
48.033,1755,819,0.159999999999997,1
49.652,1931,760,0.119999999999997,1
49.812,1939,679,0.140000000000001,1
51.151,1959,627,0.0999999999999943,1
52.231,1727,665,0.338999999999999,1
52.79,1850,631,0.140000000000001,1
53.59,1715,680,0.18,1
55.509,1866,609,0.140000000000001,1
56.608,1865,638,0.32,1
59.227,1670,644,0.0800000000000054,1
59.447,1584,691,1.35899999999999,1
61.006,1609,677,0.0799999999999983,1
61.186,1598,630,1.599,1
62.805,1574,627,0.240000000000002,1
63.065,1575,675,0.839000000000006,1
63.944,1593,681,0.379999999999995,1
64.344,1808,608,0.200000000000003,1
64.564,1616,693,0.120000000000005,1
64.764,1618,684,0.240000000000009,1
65.023,1614,669,0.400000000000006,1
65.483,1569,644,0.11999999999999,1
65.663,1604,680,0.859999999999999,1
66.763,1600,617,0.518999999999991,1
67.562,1599,618,0.340000000000003,1
67.922,1611,631,0.180000000000007,1
68.122,1605,616,0.439999999999998,1
68.661,1596,604,0.0799999999999983,1
68.761,1785,665,0.320000000000007,1
69.101,1772,671,0.260000000000005,1
71.5,1840,649,0.299999999999997,1
72.02,2209,1166,0.259,1
72.319,2105,1375,1.23999999999999,1
73.619,2036,1446,0.0799999999999983,1
73.779,1919,1535,0.299000000000007,1
74.318,1966,1502,0.200000000000003,1
74.638,1982,1569,1.759,1
76.417,1831,1481,0.459999999999994,1
76.957,1552,1401,0.160000000000011,1
77.137,1596,1382,0.0799999999999983,1
77.317,1306,1320,0.479000000000013,1
77.816,1574,1346,0.340000000000003,1
78.176,1881,1397,0.140000000000001,1
78.556,2179,1365,0.219999999999999,1
78.936,1971,1508,0.398999999999987,1
79.355,1900,1604,0.239999999999995,1
79.615,1693,1386,0.219999999999999,1
79.855,1728,1428,1.279,1
81.234,1252,1364,0.100000000000009,1
81.414,1921,1422,0.0799999999999983,1
